INCIDENT_KEY,OCCUR_DATE,OCCUR_TIME,BORO,PRECINCT,JURISDICTION_CODE,LOCATION_DESC,STATISTICAL_MURDER_FLAG,PERP_AGE_GROUP,PERP_SEX,PERP_RACE,VIC_AGE_GROUP,VIC_SEX,VIC_RACE,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,New Georeferenced Column
208237500,01/20/2020,04:50:00,MANHATTAN,34,0,RESTAURANT/DINER,false,25-44,M,BLACK,25-44,M,WHITE HISPANIC,1006605,254113,40.864136085000041,-73.919180209999979,POINT (-73.91918020999998 40.86413608500004)
213748381,06/01/2020,14:33:00,QUEENS,113,0,,false,,,,25-44,M,BLACK,1051165,185567,40.675770619000048,-73.758763029999955,POINT (-73.75876302999995 40.67577061900005)
211578477,03/27/2020,19:35:00,QUEENS,104,0,,false,,,,<18,M,BLACK HISPANIC,1015154,203604,40.725476889000049,-73.888504994999948,POINT (-73.88850499499995 40.72547688900005)
208530038,01/24/2020,14:48:00,BROOKLYN,90,2,MULTI DWELL - PUBLIC HOUS,false,,,,25-44,M,BLACK,1001438,194908,40.701645727000027,-73.938012200999935,POINT (-73.93801220099994 40.70164572700003)
213471601,05/22/2020,21:45:00,BROOKLYN,75,0,,false,,,,25-44,M,BLACK,1014810,181040,40.663545173000045,-73.889848452999956,POINT (-73.88984845299996 40.663545173000045)
211066097,03/13/2020,00:32:00,MANHATTAN,28,2,,false,25-44,M,BLACK,45-64,F,BLACK,998007,230362,40.798963998000033,-73.95031371999994,POINT (-73.95031371999994 40.79896399800003)
213188082,05/17/2020,23:52:00,BRONX,46,0,MULTI DWELL - APT BUILD,false,18-24,M,BLACK,25-44,M,WHITE HISPANIC,1005638,248319,40.848235686000066,-73.922694740999987,POINT (-73.92269474099999 40.848235686000066)
213923358,06/06/2020,21:00:00,BRONX,47,0,,false,,,,18-24,M,BLACK,1025754,268697,40.904095295000047,-73.849859522999964,POINT (-73.84985952299996 40.90409529500005)
214693505,06/27/2020,12:34:00,BROOKLYN,75,0,,true,45-64,M,BLACK,18-24,M,BLACK,1015129,182067,40.666362952000043,-73.88869391999998,POINT (-73.88869391999998 40.66636295200004)
212676557,05/04/2020,21:59:00,BROOKLYN,67,0,,false,,,,25-44,M,BLACK,1003869,176481,40.651062722000063,-73.929298337999967,POINT (-73.92929833799997 40.65106272200006)
213922505,06/05/2020,19:35:00,BROOKLYN,72,0,,false,,,,18-24,M,BLACK HISPANIC,981801,172316,40.639652084000033,-74.008825656999988,POINT (-74.00882565699999 40.63965208400003)
211866484,04/08/2020,22:26:00,STATEN ISLAND,121,0,,true,25-44,M,WHITE,45-64,M,BLACK HISPANIC,947816,158293,40.601087304000032,-74.131204326999978,POINT (-74.13120432699998 40.60108730400003)
213188079,05/15/2020,13:37:00,BROOKLYN,90,2,MULTI DWELL - PUBLIC HOUS,false,,,,65+,M,WHITE HISPANIC,998016,196598,40.706290365000029,-73.950350330999981,POINT (-73.95035033099998 40.70629036500003)
212400207,04/25/2020,00:55:00,MANHATTAN,32,0,,true,,,,25-44,M,BLACK,1001250,237934,40.819741394000062,-73.938581433999957,POINT (-73.93858143399996 40.81974139400006)
207868258,01/13/2020,16:36:00,BROOKLYN,72,0,,false,65+,M,WHITE HISPANIC,45-64,F,WHITE,980758,174140,40.644658223000079,-74.012584729999958,POINT (-74.01258472999996 40.64465822300008)
210591724,03/05/2020,10:48:00,MANHATTAN,33,0,,false,25-44,M,WHITE HISPANIC,25-44,M,BLACK,1001301,243896,40.836105283000052,-73.938382022999974,POINT (-73.93838202299997 40.83610528300005)
214467131,06/22/2020,02:27:00,BRONX,42,0,MULTI DWELL - APT BUILD,false,,,,25-44,M,BLACK,1013251,243005,40.833628590000046,-73.895200628999987,POINT (-73.89520062899999 40.833628590000046)
207502263,01/06/2020,14:15:00,BRONX,50,2,MULTI DWELL - PUBLIC HOUS,false,45-64,M,BLACK HISPANIC,25-44,M,BLACK,1011678,259907,40.880024527000046,-73.900815813999941,POINT (-73.90081581399994 40.880024527000046)
214693790,06/27/2020,04:13:00,BROOKLYN,67,0,,false,,,,25-44,M,BLACK,1008805,177368,40.653485033000038,-73.911506724999981,POINT (-73.91150672499998 40.65348503300004)
212944540,05/11/2020,17:06:00,STATEN ISLAND,121,0,PVT HOUSE,false,45-64,M,WHITE HISPANIC,45-64,M,BLACK HISPANIC,938373,169290,40.631227890000048,-74.165284271999951,POINT (-74.16528427199995 40.63122789000005)
208600971,01/27/2020,21:30:00,BROOKLYN,69,0,GROCERY/BODEGA,false,25-44,M,BLACK,25-44,M,BLACK,1011203,174515,40.645647196000027,-73.902875886999936,POINT (-73.90287588699994 40.64564719600003)
214607780,06/25/2020,17:03:00,BROOKLYN,81,2,MULTI DWELL - PUBLIC HOUS,false,,,,18-24,M,BLACK,1002438,189695,40.687335253000072,-73.934419734999949,POINT (-73.93441973499995 40.68733525300007)
214215423,06/15/2020,22:11:00,BRONX,42,0,,false,25-44,M,WHITE HISPANIC,25-44,M,BLACK,1010750,241556,40.82965936100004,-73.904244200999983,POINT (-73.90424420099998 40.82965936100004)
213187656,05/16/2020,00:50:00,QUEENS,103,0,,false,,,,25-44,M,BLACK,1042298,192835,40.695782146000056,-73.790667121999945,POINT (-73.79066712199995 40.695782146000056)
209747701,02/17/2020,23:56:00,QUEENS,113,0,,false,45-64,M,BLACK,25-44,M,BLACK,1051317,192150,40.693838234000054,-73.758149525999954,POINT (-73.75814952599995 40.693838234000054)
214449047,06/22/2020,08:40:00,BROOKLYN,73,2,MULTI DWELL - PUBLIC HOUS,true,,,,45-64,M,BLACK,1008878,184164,40.67213834100005,-73.911218814999984,POINT (-73.91121881499998 40.67213834100005)
211704488,04/02/2020,23:10:00,BRONX,48,0,,false,,,,<18,M,BLACK,1016992,247008,40.844602578000035,-73.881662261999963,POINT (-73.88166226199996 40.844602578000035)
